iter	Passed	Remaining
0	154	154410
1	156	77958
2	157	52271
3	158	39433
4	159	31721
5	160	26582
6	161	22916
7	162	20159
8	163	18014
9	164	16297
10	165	14893
11	167	13787
12	168	12790
13	169	11964
14	172	11315
15	173	10666
16	174	10093
17	175	9581
18	176	9117
19	177	8704
20	178	8329
21	179	7990
22	180	7680
23	181	7394
24	182	7132
25	183	6890
26	185	6672
27	187	6504
28	188	6313
29	189	6133
30	190	5968
31	192	5809
32	193	5659
33	194	5516
34	195	5381
35	196	5256
36	197	5137
37	198	5022
38	199	4914
39	200	4813
40	202	4732
41	203	4640
42	204	4550
43	205	4468
44	206	4387
45	207	4308
46	208	4233
47	209	4161
48	210	4091
49	211	4025
50	212	3953
51	213	3885
52	213	3817
53	214	3759
54	215	3708
55	217	3670
56	218	3619
57	220	3574
58	220	3522
59	221	3475
60	222	3430
61	223	3386
62	224	3335
63	225	3292
64	226	3265
65	228	3226
66	228	3188
67	229	3148
68	230	3111
69	231	3080
70	233	3053
71	233	3013
72	234	2981
73	235	2950
74	236	2919
75	237	2891
76	238	2862
77	239	2835
78	240	2808
79	241	2782
80	242	2756
81	243	2730
82	244	2706
83	245	2681
84	247	2659
85	248	2639
86	249	2617
87	250	2595
88	251	2572
89	252	2551
90	253	2529
91	254	2509
92	255	2489
93	256	2470
94	257	2451
95	258	2432
96	259	2414
97	259	2390
98	260	2373
99	261	2356
100	262	2340
101	264	2330
102	266	2320
103	268	2309
104	269	2293
105	270	2278
106	271	2262
107	272	2253
108	274	2242
109	275	2230
110	276	2215
111	277	2197
112	278	2183
113	281	2184
114	282	2171
115	283	2158
116	284	2143
117	285	2130
118	286	2117
119	287	2105
120	288	2093
121	289	2081
122	290	2069
123	291	2057
124	292	2045
125	293	2034
126	294	2024
127	295	2015
128	297	2006
129	298	1996
130	299	1986
131	300	1977
132	301	1967
133	302	1957
134	303	1946
135	304	1937
136	305	1927
137	306	1917
138	308	1907
139	309	1898
140	310	1889
141	311	1884
142	312	1875
143	314	1866
144	315	1861
145	316	1853
146	317	1844
147	318	1835
148	319	1827
149	321	1819
150	322	1810
151	323	1802
152	324	1794
153	325	1786
154	326	1781
155	328	1775
156	329	1767
157	330	1760
158	331	1753
159	332	1746
160	333	1739
161	334	1732
162	335	1725
163	336	1716
164	337	1709
165	338	1703
166	340	1696
167	341	1690
168	342	1684
169	343	1678
170	345	1673
171	346	1667
172	347	1661
173	348	1653
174	349	1647
175	350	1640
176	351	1634
177	352	1627
178	353	1621
179	354	1615
180	355	1606
181	356	1600
182	357	1595
183	359	1592
184	360	1587
185	361	1581
186	362	1575
187	363	1569
188	364	1564
189	365	1558
190	366	1553
